modifier,post_napoleonic_army_doctrine,field_fortifications,railroad_transport_groups,signal_detachments,flexible_firepower,synchronized_heavy_support,staff_command_support,trench_systems,gas_attack_capability,gas_defense_capability,elastic_defense_system,flexible_counterattacks,low_echelon_fire_support,stormtrooper_training,tank_experiments,tank_exploits,firepower_vs_mobility,grand_battle_plan_vs_superior_firepower,human_wave_vs_spearhead,flintlock_rifle_armament,muzzle_loaded_rifle_armament,breech_loaded_rifle_armament,machine_gun_armament,colonial_negotiations,bolt_action_rifle_armament,interwar_infantry,interwar_cavalry,rear_area_dumps,tankette,light_tank,armoured_cars,anti_aircraft_artillery,improved_anti_aircraft_artillery,light_artillery,medium_artillery,heavy_artillery,cuirassier_activation,dragoon_activation,hussar_activation,telegraph_coordination,mobilization_time_tables,personnel_category_tables,ammunition_area_effect_calculations,empirical_combat_efficiency_matrix,combat_loss_evaluation_schemata,pre_planned_depot_systems,logistical_calculations,replenishment_transport_organisation,army_political_lobbying,army_military_political_decision_making,army_local_military_government,military_aviation,early_interwar_bombers,late_interwar_bombers,early_interwar_fighters,late_interwar_fighters,t_air_superiority,flying_circus_doctrine,force_substitution_doctrine,battlefield_destruction_doctrine,operational_destruction_doctrine,strategic_destruction_doctrine,army_academic_training,field_training,army_societal_status,army_independent_command,army_continuous_issuing_of_orders,army_delegated_power,army_wargames,army_alternative_plans,saddle_orders,army_literate_ncos,nco_field_training,army_nco_tactical_training
artillery_attack,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artillery_defence,0,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artillery_supply_consumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.25,0.25,0.25,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
artillery_support,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cavalry_attack,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0.5,0.5,0.5,0,0,0.5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cavalry_defence,1,1,0,0,0.5,0.5,0,0.5,0,0,0.5,0,1,0,0,0,0,0,2,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cavalry_maximum_speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
cavalry_reconnaissance,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cavalry_supply_consumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cuirassier_attack,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
