modifier,multitude_of_financial_instruments,insurance_companies,regulated_buying_and_selling_of_stocks,liquidation_of_assets,capital_for_investors,distribution_channels,industrial_rnd_investments,industrial_production_investments,industrial_distribution_investments,private_bank_monitoring,market_behaviour_monitoring,buying_on_margin,silver_standard,decimal_monetary_system,double_standard,fixed_intramonetary_exchange_rates,gold_standard,international_monetary_exchange_rates,state_bond_monetary_mechanism,interest_inflation_weapon,hyperinflation,john_ramsay_mcculloch,nassau_william_sr,james_mill,john_elliot_cairnes,robert_torrens,john_stuart_mill,pierre_joseph_proudhon,karl_marx,friedrich_engels,eduard_bernstein,sidney_webb,karl_kautsky,s,friedrich_list,wilhelm_roscher,bruno_hildebrand,karl_knies,gustav_von_schmoller,adolph_wagner,william_cunningham,nen,on_walras,stanley_jevons,carl_menger,thorstein_veblen,alfred_marshall,augustin_cournot,jules_dupuit,vilfredo_pareto,knut_wicksell,irving_fischer,joseph_schumpeter,hm_bawerk,john_maynard_keynes,richard_kahn,ludwig_von_mises,friedrich_hayek,polypoly_structure,oligopoly_structure,monopoly_structure,limited_partnership_company,joint_stock_company,patent,trademark,anti_trust_laws,financial_regulations,banking_regulations,working_board_of_directors,bankruptcy_proceedings,annual_report_proceedings,priming_the_pump_,mixed_economy,centralized_economic_planning,autarky,import_substitution_industrialization,work_classification,work_specialization,work_control_and_hierarchy,sequence_planning,inventory_planning,quality_assurance_procedure,time_studies,time_clock,lighting,old_style_family_business,anynomous_investor_business,marketized_smallholder_business,i_scientific_management,human_resource_development
administrative_efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
administrative_efficiency_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_cost,0,0,0,-0.01,-0.01,-0.01,-0.01,-0.01,-0.01,0,0,-0.01,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.03,-0.02,0,0,0,-0.01,-0.01,-0.01,0,0,-0.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.01,-0.01,-0.01,0,0
factory_output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.025,0.025,0,0,0,0.01,0.01
factory_throughput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_RGO_eff,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_rgo_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_rgo_size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loan_interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.005,-0.005,0,-0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
