modifier,daimlers_automobile,wright_n_langleys_aeroplanes,tractors,direct_current,alternating_current,polyphase_system,sharp_n_roberts_power_loom,jacquard_power_loom,northrop_power_loom,mechanical_saw,mechanical_precision_saw,hussey_n_mccormicks_reaping_machine,pitts_threshing_machine,mechanized_slaughtering_block,precision_work,machine_tools,whitney_n_colts_standardized_small_arms,food_packing_system,integral_distillery_process,jiggs,electric_machinery,oil_pumping_machinery,drying_techniques,fordism,industrialized_armament_industry,refrigerator_technology,ammunition_production,small_arms_production,explosives_production,artillery_production,pit_coal,coke,advanced_ore_roasting_processes,advanced_ore_grinding_processes,advanced_ore_smelting_processes,bessemer_steel,martin_steel,thomas_steel,electric_rolling_techniques,steel_alloys,stainless_steel,combat_medicine,aerial_bacteria_and_antiseptic_principle,vaccination,chemotherapy,genetics:_heredity,clinical_thermometers_and_binaural_stethoscopes,prophylaxis_against_malaria,pressure_chambers_for_thorax_surgery,artificial_fertilizers,nitroglycerin,chemical_wood_pulp_process,rubber_vulcanization,catalytic_fermentative_process,synthetic_dye,gaslights,carbon_soil_enrichment,cracking,x_rays,edison_light_bulb,bell_n_greys_telephones,electrical_lighting,rayon,bakelite,vacuum_tube,tulls_seed_drill,rotherham_plough,telephone_switchboard
rgo_goods_output_cattle,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_goods_output_coal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_goods_output_coffee,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_goods_output_cotton,0,0,0,0,0,0,0.2,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_goods_output_fish,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_goods_output_fruit,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0
rgo_goods_output_grain,0,0,0,0,0,0,0,0,0,0,0,0.2,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.2,0
rgo_goods_output_iron,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4,0.25,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_goods_output_oil,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_goods_output_opium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
