modifier,torpedo_attacks,long_range_fire_tactic,speedy_maneuvering_tactic,sealane_hunters,fast_ship_killer,big_ship_competitor,standard_raider_group_doctrine,blue_water_school,brown_water_school,offensive_attitude,defensive_attitude,decisive_firepower_doctrine,naval_firepower_doctrine,building_station_shipyards,mechanized_fishing_vessels,steamer_automatic_construction_plants,steamer_transports,commerce_raiders,ironclads,monitors,torpedo_boats,protected_cruisers,pre_dreadnought,dreadnoughts,advanced_cruisers,modern_cruisers,advanced_battleships,modern_battleships,optical_rangefinders,gyrostabilized_fire_control,armour_piercing_projectiles,armour_piercing_exploding_projectiles,armoured_turrets,bomb_guns,rifled_guns,quick_firing_guns,armoured_citadels,heavy_caliber_guns,on_board_recon_aircraft,gun_hydraulics,heavy_armour_plates,large_hull_form,wireless,advanced_fire_control,15_inch_main_armament,night_training,enemy_plotting_cards,target_hit_profile_analysis,hit_evaluation_reports,empirical_interdiction_reports,naval_strike_success_criterium,underway_refueling,ammunition_conservation_system,radio_telegraphy,political_lobbying,military_political_decision_making,local_military_government,war_gamming,combined_arms_planning,academic_training,combat_station_training,societal_status,independent_command,continuous_issuing_of_orders,delegated_power,wargames,alternative_plans,n_saddle_orders,literate_ncos,nco_combat_station_training,nco_tactical_training,amphibious_warfare_training,naval_exercises
administrative_efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
administrative_efficiency_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_throughput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_RGO_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_rgo_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_rgo_size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loan_interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
