modifier,no_land_reform,yes_land_reform,no_admin_reform,yes_admin_reform,no_finance_reform,yes_finance_reform,finance_reform_two,no_education_reform,yes_education_reform,no_transport_improv,yes_transport_improv,no_pre_indust,yes_pre_indust,no_industrial_construction,yes_industrial_construction
administrative_efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
administrative_efficiency_modifier,0,0,0,0.1,0,0,0,0,0,0,0,0,0,0,0
factory_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_throughput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_RGO_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_rgo_eff,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0
farm_rgo_size,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loan_interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_loan_modifier,0,0,0,0,-1,-1,-0.2,0,0,0,0,0,0,0,0
max_railroad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mine_RGO_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mine_rgo_eff,0,0.25,0,0,0,0,0,0,0,0,0.25,0,0,0,0
mine_rgo_size,0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tariff_efficiency_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tax_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tax_efficiency,0,0,0,0,0,0.1,0.1,0,0,0,0,0,0,0,0
