modifier,no_land_reform,yes_land_reform,no_admin_reform,yes_admin_reform,no_finance_reform,yes_finance_reform,finance_reform_two,no_education_reform,yes_education_reform,no_transport_improv,yes_transport_improv,no_pre_indust,yes_pre_indust,no_industrial_construction,yes_industrial_construction
army_base_default_organisation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
army_base_maximum_speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
army_base_supply_consumption,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
combat_width,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dig_in_cap,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land_attrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land_defense_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land_organisation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
land_unit_start_experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leadership_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_fort,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_naval_base,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
military_tactics,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilisation_economy_impact,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilisation_size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
morale,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naval_attack_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naval_attrition,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naval_defense_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
naval_unit_start_experience,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navy_base_build_time,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navy_base_default_organisation,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navy_base_gun_power,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navy_base_hull,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
navy_base_maximum_speed,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
regular_experience_level,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
reinforce_rate,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
research_points_on_conquer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
soldier_to_pop_loss,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supply_limit,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
supply_range,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
war_exhaustion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
