modifier,no_foreign_training,yes_foreign_training,no_foreign_weapons,yes_foreign_weapons,no_military_constructions,yes_military_constructions,no_foreign_officers,yes_foreign_officers,no_army_schools,yes_army_schools,no_foreign_naval_officers,yes_foreign_naval_officers,no_naval_schools,yes_naval_schools,no_foreign_navies,yes_foreign_navies
administrative_efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
administrative_efficiency_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_cost,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_input,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
factory_throughput,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_RGO_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_rgo_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
farm_rgo_size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
loan_interest,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_loan_modifier,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
max_railroad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mine_RGO_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mine_rgo_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mine_rgo_size,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rgo_output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tariff_efficiency_modifier,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0
tax_eff,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tax_efficiency,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
